idx,year,month,day,miss,need,bought,peak_bldg_buy_kwh,offpeak_bldg_buy_kwh,peak_chg_buy_kwh,offpeak_chg_buy_kwh,policy
33,2023,6,4,0.0,26.873800000000003,45.0,485.4875,232.6458333333333,45.0,0.0,0.0
34,2023,6,5,0.0,68.16260000000001,105.0,1260.6125000000002,253.9625,105.0,0.0,0.0
35,2023,6,6,0.0,56.6592,70.0,1034.11875,259.06875,70.0,0.0,0.0
36,2023,6,7,0.0,51.16,75.0,1218.8125,273.07916666666665,75.0,0.0,0.0
37,2023,6,8,0.0,71.01879999999998,95.0,1198.975,228.2083333333333,95.0,0.0,0.0
38,2023,6,9,0.0,61.4838,85.0,1025.625,226.3625,85.0,0.0,0.0
39,2023,6,10,0.0,12.4682,14.999999999999996,455.5875,215.375,15.0,0.0,0.0
40,2023,6,11,0.0,15.721199999999998,24.999999999999996,474.3,233.35,25.0,0.0,0.0
41,2023,6,12,0.0,143.79180000000002,180.0,1357.35,251.3875,180.0,0.0,0.0
42,2023,6,13,0.0,69.40359999999998,79.99999999999999,1365.5,259.5875,80.0,0.0,0.0
43,2023,6,14,0.0,119.0214,155.0,1322.5875,256.04999999999995,155.0,0.0,0.0
44,2023,6,15,0.0,109.3388,140.0,1246.3,259.8125,140.0,0.0,0.0
45,2023,6,16,0.0,74.97739999999999,90.00000000000001,1318.7125,253.1375,90.0,0.0,0.0
46,2023,6,17,0.0,10.256000000000002,15.000000000000002,524.875,248.0625,15.0,0.0,0.0
47,2023,6,18,0.0,6.431999999999999,10.000000000000002,535.3416666666667,231.1208333333333,10.0,0.0,0.0
48,2023,6,19,0.0,101.9282,129.99999999999997,1005.875,245.35,130.0,0.0,0.0
49,2023,6,20,0.0,58.408,65.0,1177.6,238.0,65.0,0.0,0.0
50,2023,6,21,0.0,107.49440000000004,130.00000000000003,1133.49375,234.63958333333332,130.0,0.0,0.0
51,2023,6,22,0.0,65.82560000000001,80.0,1121.4625,244.01666666666665,80.0,0.0,0.0
52,2023,6,23,0.0,103.02219999999996,125.0,1185.4375,244.2875,125.0,0.0,0.0
53,2023,6,24,0.0,10.924400000000006,15.0,498.2416666666667,247.5958333333333,15.0,0.0,0.0
54,2023,6,25,0.0,22.68079999999999,35.0,496.35,245.275,35.0,0.0,0.0
55,2023,6,26,0.0,144.0396,175.0,1137.85,253.1625,175.0,0.0,0.0
